0,1,2,3,4,5,6,7,Class
-52.0,-56.0,-58.0,-67.0,-65.0,-64.0,-65.0,-60.0,1
-52.0,-55.0,-56.0,-64.0,-63.0,-67.0,-68.0,-55.0,1
-52.0,-58.0,-57.0,-61.0,-64.0,-66.0,-61.0,-55.0,1
-51.0,-60.0,-56.0,-63.0,-63.0,-65.0,-60.0,-54.0,1
-52.0,-59.0,-56.0,-64.0,-62.0,-77.0,-61.0,-56.0,1
-52.0,-56.0,-56.0,-62.0,-64.0,-67.0,-64.0,-55.0,1
-54.0,-61.0,-57.0,-67.0,-64.0,-67.0,-63.0,-54.0,1
-53.0,-59.0,-56.0,-64.0,-64.0,-66.0,-64.0,-54.0,1
-53.0,-58.0,-58.0,-64.0,-64.0,-71.0,-65.0,-55.0,1
-53.0,-61.0,-58.0,-63.0,-65.0,-66.0,-66.0,-58.0,1
-53.0,-57.0,-57.0,-61.0,-65.0,-66.0,-64.0,-55.0,1
-60.0,-61.0,-68.0,-57.0,-63.0,-62.0,-60.0,-60.0,1
-60.0,-61.0,-69.0,-60.0,-63.0,-62.0,-61.0,-55.0,1
-59.0,-58.0,-66.0,-57.0,-64.0,-62.0,-62.0,-55.0,1
-59.0,-59.0,-68.0,-58.0,-65.0,-62.0,-61.0,-59.0,1
-59.0,-63.0,-66.0,-57.0,-64.0,-63.0,-60.0,-59.0,1
-58.0,-64.0,-66.0,-59.0,-64.0,-60.0,-58.0,-59.0,1
-61.0,-61.0,-68.0,-56.0,-64.0,-62.0,-60.0,-58.0,1
-59.0,-58.0,-68.0,-57.0,-65.0,-62.0,-61.0,-59.0,1
-60.0,-62.0,-68.0,-54.0,-65.0,-61.0,-61.0,-60.0,1
-58.0,-61.0,-67.0,-58.0,-64.0,-62.0,-63.0,-58.0,1
-54.0,-58.0,-63.0,-56.0,-59.0,-64.0,-60.0,-69.0,1
-55.0,-59.0,-61.0,-55.0,-55.0,-54.0,-63.0,-63.0,1
-64.0,-61.0,-61.0,-55.0,-59.0,-59.0,-62.0,-66.0,1
-55.0,-61.0,-57.0,-54.0,-57.0,-59.0,-62.0,-70.0,1
-56.0,-58.0,-60.0,-55.0,-56.0,-59.0,-60.0,-65.0,1
-55.0,-59.0,-60.0,-56.0,-56.0,-59.0,-60.0,-70.0,1
-68.0,-58.0,-60.0,-55.0,-56.0,-58.0,-62.0,-66.0,1
-67.0,-61.0,-59.0,-57.0,-59.0,-59.0,-62.0,-68.0,1
-67.0,-60.0,-58.0,-54.0,-58.0,-60.0,-61.0,-63.0,1
-67.0,-59.0,-57.0,-54.0,-57.0,-61.0,-59.0,-63.0,1
-63.0,-60.0,-58.0,-55.0,-58.0,-61.0,-60.0,-63.0,1
-67.0,-57.0,-57.0,-63.0,-57.0,-62.0,-62.0,-63.0,1
-66.0,-58.0,-56.0,-55.0,-58.0,-61.0,-61.0,-63.0,1
-73.0,-63.0,-60.0,-57.0,-58.0,-61.0,-60.0,-65.0,1
-68.0,-61.0,-59.0,-57.0,-57.0,-59.0,-62.0,-64.0,1
-76.0,-57.0,-57.0,-57.0,-58.0,-58.0,-60.0,-64.0,1
-73.0,-62.0,-60.0,-57.0,-60.0,-57.0,-61.0,-67.0,1
-73.0,-59.0,-60.0,-57.0,-58.0,-66.0,-61.0,-64.0,1
-65.0,-55.0,-59.0,-59.0,-66.0,-58.0,-60.0,-50.0,1
-61.0,-54.0,-57.0,-62.0,-64.0,-57.0,-60.0,-50.0,1
-60.0,-55.0,-58.0,-63.0,-63.0,-56.0,-59.0,-52.0,1
-60.0,-55.0,-56.0,-60.0,-65.0,-55.0,-60.0,-50.0,1
