AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,Class
-52,-56,-58,-67,-65,-64,-65,-60,1
-52,-55,-56,-64,-63,-67,-68,-55,1
-52,-58,-57,-61,-64,-66,-61,-55,1
-51,-60,-56,-63,-63,-65,-60,-54,1
-52,-59,-56,-64,-62,-77,-61,-56,1
-52,-56,-56,-62,-64,-67,-64,-55,1
-54,-61,-57,-67,-64,-67,-63,-54,1
-53,-59,-56,-64,-64,-66,-64,-54,1
-53,-58,-58,-64,-64,-71,-65,-55,1
-53,-61,-58,-63,-65,-66,-66,-58,1
-53,-57,-57,-61,-65,-66,-64,-55,1
-60,-61,-68,-57,-63,-62,-60,-60,1
-60,-61,-69,-60,-63,-62,-61,-55,1
-59,-58,-66,-57,-64,-62,-62,-55,1
-59,-59,-68,-58,-65,-62,-61,-59,1
-59,-63,-66,-57,-64,-63,-60,-59,1
-58,-64,-66,-59,-64,-60,-58,-59,1
-61,-61,-68,-56,-64,-62,-60,-58,1
-59,-58,-68,-57,-65,-62,-61,-59,1
-60,-62,-68,-54,-65,-61,-61,-60,1
-58,-61,-67,-58,-64,-62,-63,-58,1
-54,-58,-63,-56,-59,-64,-60,-69,1
-55,-59,-61,-55,-55,-54,-63,-63,1
-64,-61,-61,-55,-59,-59,-62,-66,1
-55,-61,-57,-54,-57,-59,-62,-70,1
-56,-58,-60,-55,-56,-59,-60,-65,1
-55,-59,-60,-56,-56,-59,-60,-70,1
-68,-58,-60,-55,-56,-58,-62,-66,1
-67,-61,-59,-57,-59,-59,-62,-68,1
-67,-60,-58,-54,-58,-60,-61,-63,1
-67,-59,-57,-54,-57,-61,-59,-63,1
-63,-60,-58,-55,-58,-61,-60,-63,1
-67,-57,-57,-63,-57,-62,-62,-63,1
-66,-58,-56,-55,-58,-61,-61,-63,1
-73,-63,-60,-57,-58,-61,-60,-65,1
-68,-61,-59,-57,-57,-59,-62,-64,1
-76,-57,-57,-57,-58,-58,-60,-64,1
-73,-62,-60,-57,-60,-57,-61,-67,1
-73,-59,-60,-57,-58,-66,-61,-64,1
-65,-55,-59,-59,-66,-58,-60,-50,1
-61,-54,-57,-62,-64,-57,-60,-50,1
-60,-55,-58,-63,-63,-56,-59,-52,1
-60,-55,-56,-60,-65,-55,-60,-50,1
-60,-54,-59,-61,-66,-56,-61,-53,1
-61,-54,-59,-59,-66,-56,-62,-53,1
-61,-56,-58,-60,-65,-56,-64,-50,1
-60,-55,-60,-58,-65,-56,-61,-50,1
-64,-56,-59,-61,-64,-57,-63,-49,1
-65,-56,-58,-59,-64,-55,-61,-51,1
-66,-56,-59,-56,-64,-55,-61,-51,1
-58,-56,-59,-60,-69,-56,-64,-51,1
-52,-61,-55,-56,-58,-58,-58,-48,2
-55,-61,-56,-55,-62,-56,-58,-59,2
-56,-65,-55,-58,-62,-54,-60,-49,2
-55,-65,-55,-55,-59,-52,-57,-51,2
-53,-62,-54,-56,-59,-55,-58,-49,2
-53,-64,-54,-56,-59,-58,-56,-50,2
-53,-62,-54,-55,-59,-59,-57,-49,2
-53,-63,-55,-57,-59,-57,-57,-49,2
-65,-60,-64,-61,-62,-54,-56,-54,2
-58,-58,-66,-60,-63,-54,-56,-52,2
-62,-60,-66,-59,-61,-52,-57,-52,2
-62,-56,-65,-63,-62,-54,-58,-51,2
-62,-59,-64,-60,-64,-54,-59,-52,2
-62,-60,-67,-62,-64,-55,-57,-52,2
-63,-59,-66,-59,-64,-54,-57,-52,2
-63,-59,-65,-61,-63,-54,-57,-50,2
-62,-58,-63,-60,-64,-54,-57,-52,2
-63,-60,-70,-61,-64,-53,-57,-52,2
-60,-59,-67,-60,-64,-52,-57,-52,2
-60,-62,-56,-56,-68,-54,-59,-49,2
-56,-63,-57,-57,-68,-54,-60,-49,2
-58,-66,-55,-56,-69,-55,-64,-48,2
-57,-62,-54,-58,-73,-55,-63,-48,2
-56,-63,-55,-59,-65,-55,-62,-47,2
-57,-65,-55,-58,-69,-54,-61,-49,2
-65,-61,-55,-58,-68,-56,-64,-49,2
-64,-62,-55,-57,-65,-55,-62,-47,2
-62,-61,-55,-59,-64,-54,-60,-47,2
-64,-60,-56,-57,-65,-54,-62,-50,2
-63,-62,-56,-57,-64,-57,-60,-49,2
-62,-63,-57,-58,-64,-55,-60,-50,2
-58,-61,-56,-58,-70,-54,-62,-51,2
-56,-63,-55,-55,-63,-55,-61,-50,2
-57,-60,-55,-56,-65,-55,-61,-50,2
-58,-62,-56,-61,-65,-54,-60,-50,2
-56,-57,-56,-69,-63,-53,-64,-53,2
-57,-56,-56,-64,-62,-53,-65,-53,2
-54,-59,-57,-65,-64,-55,-66,-52,2
-56,-58,-57,-63,-64,-56,-68,-53,2
-56,-57,-57,-64,-64,-56,-66,-52,2
-59,-57,-56,-63,-62,-52,-66,-52,2
-56,-57,-56,-63,-62,-55,-77,-53,2
-56,-55,-55,-67,-62,-54,-69,-53,2
-56,-57,-55,-64,-63,-54,-65,-52,2
-56,-59,-56,-63,-63,-54,-62,-53,2
-56,-62,-55,-62,-64,-54,-66,-52,2
-56,-60,-55,-65,-63,-55,-67,-53,2
-54,-59,-54,-65,-64,-54,-65,-53,2
-55,-59,-56,-63,-62,-55,-64,-51,2
-54,-60,-55,-64,-62,-56,-65,-53,2
-61,-58,-53,-70,-56,-60,-57,-69,3
-61,-62,-52,-66,-57,-58,-56,-70,3
-61,-60,-51,-66,-60,-61,-55,-69,3
-61,-61,-51,-65,-59,-59,-56,-73,3
-61,-56,-52,-70,-58,-60,-57,-68,3
-65,-66,-55,-64,-65,-59,-61,-67,3
-63,-64,-56,-62,-62,-58,-64,-62,3
-62,-66,-57,-61,-65,-56,-61,-62,3
-64,-68,-56,-62,-62,-57,-61,-62,3
-72,-66,-57,-62,-62,-57,-61,-66,3
-66,-67,-56,-67,-72,-58,-61,-65,3
-67,-66,-56,-64,-65,-58,-62,-66,3
-66,-69,-58,-64,-63,-58,-61,-66,3
-65,-67,-55,-65,-64,-59,-60,-64,3
-66,-66,-56,-62,-67,-59,-61,-66,3
-58,-60,-56,-59,-60,-66,-64,-67,3
-58,-58,-58,-60,-64,-66,-62,-70,3
-59,-55,-58,-61,-66,-67,-59,-74,3
-60,-59,-58,-60,-67,-67,-60,-74,3
-59,-58,-57,-59,-66,-65,-60,-70,3
-60,-56,-57,-57,-62,-65,-60,-66,3
-60,-56,-56,-59,-63,-64,-60,-70,3
-58,-58,-59,-57,-63,-64,-59,-63,3
-60,-58,-57,-57,-63,-66,-59,-66,3
-59,-58,-56,-60,-63,-65,-60,-66,3
-60,-59,-56,-57,-62,-65,-60,-69,3
-60,-57,-59,-59,-61,-64,-59,-65,3
-59,-58,-57,-58,-63,-65,-61,-74,3
-60,-59,-57,-59,-62,-67,-61,-73,3
-59,-57,-58,-60,-59,-63,-61,-71,3
-60,-59,-57,-58,-59,-65,-56,-60,3
-58,-57,-56,-59,-59,-65,-61,-63,3
-58,-57,-56,-56,-57,-63,-60,-63,3
-58,-57,-55,-55,-57,-64,-60,-62,3
-57,-55,-67,-60,-55,-53,-57,-62,3
-61,-55,-65,-57,-55,-53,-57,-56,3
-59,-55,-64,-66,-55,-54,-56,-55,3
-57,-55,-62,-65,-56,-53,-58,-54,3
-60,-56,-69,-64,-54,-52,-56,-58,3
-57,-56,-62,-66,-55,-54,-57,-55,3
-57,-56,-65,-65,-55,-55,-56,-57,3
-56,-55,-62,-68,-55,-52,-59,-57,3
-60,-56,-74,-67,-55,-54,-54,-58,3
-58,-56,-66,-65,-58,-53,-58,-58,3
-59,-57,-67,-66,-55,-56,-57,-57,3
-59,-56,-66,-64,-59,-52,-57,-57,3
-59,-54,-67,-64,-55,-55,-56,-56,3
-59,-55,-64,-66,-55,-53,-56,-55,3
-59,-56,-61,-66,-56,-52,-57,-57,3
-60,-55,-65,-66,-56,-54,-58,-57,3
-62,-69,-57,-60,-67,-65,-64,-49,4
-63,-68,-59,-60,-70,-56,-63,-51,4
-63,-69,-56,-59,-74,-60,-63,-50,4
-63,-67,-58,-56,-67,-57,-63,-49,4
-61,-67,-59,-59,-67,-58,-60,-51,4
-61,-75,-58,-57,-66,-56,-63,-47,4
-62,-70,-60,-57,-79,-63,-63,-44,4
-61,-70,-59,-57,-68,-60,-66,-45,4
-61,-67,-59,-58,-76,-60,-67,-47,4
-59,-68,-56,-57,-67,-51,-60,-45,4
-58,-72,-59,-56,-70,-52,-65,-46,4
-59,-70,-57,-53,-65,-53,-64,-46,4
-59,-71,-59,-56,-68,-55,-65,-44,4
-61,-72,-58,-59,-72,-55,-61,-46,4
-58,-68,-60,-59,-65,-55,-61,-44,4
-61,-73,-60,-57,-71,-54,-58,-45,4
-58,-71,-58,-57,-71,-53,-61,-45,4
-59,-73,-57,-57,-72,-52,-59,-46,4
-59,-69,-60,-57,-78,-52,-61,-43,4
-77,-70,-60,-64,-62,-61,-51,-56,4
-65,-81,-59,-62,-66,-62,-50,-50,4
-73,-73,-61,-63,-65,-62,-51,-51,4
-70,-74,-58,-65,-64,-61,-51,-48,4
-73,-70,-60,-66,-64,-62,-49,-52,4
-67,-73,-61,-65,-62,-62,-50,-54,4
-69,-73,-59,-66,-60,-56,-53,-46,4
-68,-72,-65,-64,-60,-65,-51,-54,4
-72,-72,-62,-64,-59,-66,-50,-51,4
-71,-80,-60,-65,-65,-60,-51,-46,4
-68,-69,-62,-64,-60,-72,-50,-52,4
-67,-71,-63,-65,-61,-59,-50,-48,4
-67,-67,-63,-64,-63,-60,-51,-52,4
-67,-68,-64,-64,-58,-58,-50,-51,4
-69,-66,-65,-66,-63,-59,-49,-53,4
-68,-67,-59,-66,-62,-64,-51,-50,4
-66,-68,-64,-64,-60,-64,-50,-52,4
-56,-55,-63,-67,-63,-64,-51,-52,4
-60,-59,-65,-71,-69,-54,-53,-47,4
-59,-60,-65,-66,-56,-62,-52,-48,4
-59,-58,-59,-68,-67,-54,-52,-49,4
-59,-56,-62,-66,-64,-62,-54,-48,4
-60,-54,-63,-65,-65,-66,-51,-49,4
-58,-56,-63,-66,-67,-58,-53,-48,4
-60,-58,-66,-65,-71,-63,-52,-48,4
-60,-59,-65,-66,-65,-56,-53,-50,4
-59,-58,-65,-73,-61,-60,-53,-51,4
-61,-56,-66,-62,-66,-63,-53,-50,4
-54,-58,-64,-67,-65,-60,-53,-50,4
-62,-58,-67,-63,-71,-63,-53,-49,4
-62,-55,-67,-66,-72,-57,-54,-51,4
-61,-68,-60,-56,-62,-53,-52,-48,5
-64,-69,-61,-61,-63,-60,-52,-50,5
